full_event_name,count
Microsoft-Windows-Desktop-Shell-Windowing.TabletModeCSMEvent,55
Microsoft-Windows-Desktop-Shell-Windowing.TabletModeSettings,32
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostExtendedUIInvoked,70
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostFoundPinnedSites,17
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostThumbnailRequested,56
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostTimestampUpdateCanceled,4
Microsoft-Windows-DevicesFlowUI.DeviceAdded,16
Microsoft-Windows-DevicesFlowUI.DeviceDiscoveryInteraction,16
Microsoft-Windows-DevicesFlowUI.DeviceDiscoveryQuery,34
Microsoft-Windows-Diagnostics-Performance.PostLogonStartupProcesses,4
Microsoft-Windows-DispBroker.DisplayStateApply,32
Microsoft-Windows-DispBroker.DisplayStateFunctionalize,32
Microsoft-Windows-FileHistory-ConfigMgr.FHInterfaceUsage(Aggregate),41
Microsoft-Windows-Host-Network-Service.EndpointOperationTimeAttach,112
Microsoft-Windows-Host-Network-Service.EndpointOperationTimeDetach,78
Microsoft-Windows-Host-Network-Service.HNSEndpointCreated,111
Microsoft-Windows-Host-Network-Service.HNSEndpointRemoved,78
Microsoft-Windows-Host-Network-Service.HNSGuestNetworkServiceCreated,14
Microsoft-Windows-Host-Network-Service.HNSGuestNetworkServiceRemoved,11
Microsoft-Windows-Host-Network-Service.HNSIsolationAdded,111
Microsoft-Windows-Host-Network-Service.HNSIsolationRemoved,77
Microsoft-Windows-Host-Network-Service.HNSLayerCreated,8
Microsoft-Windows-Host-Network-Service.HNSLayerRemoved,36
Microsoft-Windows-Host-Network-Service.HNSMirroredEndpointBootstrapped,111
Microsoft-Windows-Host-Network-Service.HNSNamespaceCreated,4
Microsoft-Windows-Host-Network-Service.HNSNetworkCreated,77
Microsoft-Windows-Host-Network-Service.HNSNetworkRemoved,32
Microsoft-Windows-Host-Network-Service.HNSResourceCreate,488
