Win11 full_event_name,count
Microsoft.Web.Platform.ContentCoreInputWindowReceivedFocus,16
Microsoft.Web.Platform.CopyTraceActivityStarted,3
Microsoft.Web.Platform.CopyTraceActivityStopped,3
Microsoft.Web.Platform.CoreWebViewCreation,21
Microsoft.Web.Platform.CoreWebViewSetSize,19
Microsoft.Web.Platform.CoreWebViewUsageTime,27
Microsoft.Web.Platform.DXAdapterDesc,31
Microsoft.Web.Platform.DXDeviceCreate,31
Microsoft.Web.Platform.DXDeviceCreationErrors,31
Microsoft.Web.Platform.DocumentAndLayoutModeInfo,122
Microsoft.Web.Platform.EventLoopDriveIdleTaskByPaint,10
Microsoft.Web.Platform.ForCopyEventExecHelperCalled,3
Microsoft.Web.Platform.GainedFocus,16
Microsoft.Web.Platform.GwndTaskProfileData,227
Microsoft.Web.Platform.HostConfiguration,31
Microsoft.Web.Platform.IDBServer.IndexedDbSharedDatabaseUsage,9
Microsoft.Web.Platform.InitializeProtectionFeature,3
Microsoft.Web.Platform.InputTaskProfileData,110
Microsoft.Web.Platform.LayerManagerActivityStart,185
Microsoft.Web.Platform.LayerManagerActivityStop,177
Microsoft.Web.Platform.LostFocus,16
Microsoft.Web.Platform.MarkupActivityStarted,280
Microsoft.Web.Platform.MarkupDestroyed,239
Microsoft.Web.Platform.NavigateComplete,227
Microsoft.Web.Platform.NavigationStopped,123
Microsoft.Web.Platform.PageAvailable,131
Microsoft.Web.Platform.PageLoadEnd,122
Microsoft.Web.Platform.PhoneNumberHighlighted,1
Microsoft.Web.Platform.ProcessAttached,24
Microsoft.Web.Platform.ProcessDetached,3
Microsoft.Web.Platform.QuerySelectorStatistics,6
Microsoft.Web.Platform.ReadyStateComplete,226
Microsoft.Web.Platform.ReadyStateInteractive,226
Microsoft.Web.Platform.ResProtocolUsageInstance,5
Microsoft.Web.Platform.ScrollDelayTracker,227
Microsoft.Web.Platform.ScrollDelayTrackerIndependent,227
Microsoft.Web.Platform.SecurityZone,122
Microsoft.Web.Platform.ServiceWorkerGlobalScopeReportScriptError,10
Microsoft.Web.Platform.ServiceWorkerHelperScheduleJob,12
Microsoft.Web.Platform.ServiceWorkerInfo,22
Microsoft.Web.Platform.SetInteractiveInternalCancelled,208
Microsoft.Web.Platform.SetUri,227
Microsoft.Web.Platform.StorageServer.CS_CacheStorage_open,20
Microsoft.Web.Platform.StorageServer.QT_WebPlatStorageQuotaUsage,18
Microsoft.Web.Platform.TaskDelayBuckets,41
Microsoft.Web.Platform.TaskProfilerSuspensionFlags,1
Microsoft.Web.Platform.UpdateTravelLog,1
Microsoft.Web.Platform.UseTracker,239
Microsoft.Web.Platform.VisibilityStateUpdated,168
Microsoft.Web.Platform.W3CNavigationTiming,227
Microsoft.Web.Platform.WinRTSaveSegmentToClipboardCalled,3
Microsoft.Windows.AccountsService.GetSubscriptions,14
Microsoft.Windows.Analog.HydrogenCompositor.DwmHolographicSuspendRequest,35
Microsoft.Windows.Analog.NUI.SAPI.ModelUpdate,6
Microsoft.Windows.Analog.NUI.SAPI.ModelUpdate_Abort,3
Microsoft.Windows.ApiTelemetry.ApiCallCounts,741
Microsoft.Windows.App.Browser.IEFrameProcessAttached,41
Microsoft.Windows.AppLifeCycle.ModernAppLaunch_UIResponsive,4
Microsoft.Windows.AppLifeCycle.ModernAppLaunch_VisibleComplete,3
Microsoft.Windows.AppLifeCycle.UI.AppLaunch_UserClick,50
Microsoft.Windows.AppLifeCycle.UI.AppSwitch,25
Microsoft.Windows.AppListBackup.AppListBackupImpl.BackupAppList,2
Microsoft.Windows.AppListBackup.AppListBackupImpl.Win32RegKey_Error,1
Microsoft.Windows.AppModel.AppUriHandlerRegistrationVerifier.VerifyAllInstalled,14
Microsoft.Windows.AppModel.Tiles.PrimaryTileCreated,9
Microsoft.Windows.AppModel.Tiles.PrimaryTileRemoved,8
Microsoft.Windows.AppModel.Tiles.PrimaryTileUserCreated,1
